declaration_id,hazard_category_override,review_note,source_url
CO-EO-D-2005-008,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00805internet.pdf
CO-EO-D-2017-006,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017006internet.pdf
CO-EO-D-2017-007,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017007internet.pdf
CO-EO-D-2017-016,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017016internet.pdf
CO-EO-D-2017-024,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017024internet.pdf
CO-EO-D-2017-025,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017025internet.pdf
CO-EO-D-2017-028,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017028internet.pdf
CO-EO-D-2017-029,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132017029internet.pdf
CO-EO-D-2016-004,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132016004internet.pdf
CO-EO-D-2016-006,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132016006internet.pdf
CO-EO-D-2016-008,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132016008internet.pdf
CO-EO-D-2016-010,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132016010internet.pdf
CO-EO-D-2016-012,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132016012internet.pdf
CO-EO-D-2015-010,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132015010internet.pdf
CO-EO-D-2013-009,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132013009internet.pdf
CO-EO-D-2013-010,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132013010internet.pdf
CO-EO-D-2013-011,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132013011internet.pdf
CO-EO-D-2013-013,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132013013internet.pdf
CO-EO-D-2013-017,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132013017internet.pdf
CO-EO-D-2013-024,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132013024internet.pdf
CO-EO-D-2012-007,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012007internet.pdf
CO-EO-D-2012-012,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012012internet.pdf
CO-EO-D-2012-018,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012018internet.pdf
CO-EO-D-2012-021,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012021internet.pdf
CO-EO-D-2012-023,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012023internet.pdf
CO-EO-D-2012-025,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012025internet.pdf
CO-EO-D-2012-039,flood,Legal order supports flood classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012039internet.pdf
CO-EO-D-2012-041,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012041internet.pdf
CO-EO-D-2012-044,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012044internet.pdf
CO-EO-D-2012-046,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012046internet.pdf
CO-EO-D-2012-050,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012050internet.pdf
CO-EO-D-2011-009,flood,Legal order supports flood classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011009internet.pdf
CO-EO-D-2011-019,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011019internet.pdf
CO-EO-D-2011-022,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011022internet.pdf
CO-EO-D-2011-023,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011023internet.pdf
CO-EO-D-2025-010,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122025010internet.pdf
CO-EO-D-2025-015,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122025015internet.pdf
CO-EO-D-2025-016,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122025016internet.pdf
CO-EO-D-2025-017,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122025017internet.pdf
CO-EO-D-2025-018,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122025018internet.pdf
CO-EO-D-2024-010,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122024010internet.pdf
CO-EO-D-2024-011,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122024011internet.pdf
CO-EO-D-2024-012,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122024012internet.pdf
CO-EO-D-2024-013,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122024013internet.pdf
CO-EO-D-2024-016,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122024016internet.pdf
CO-EO-D-2024-017,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122024017internet.pdf
CO-EO-D-2023-010,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122023010internet.pdf
CO-EO-D-2023-012,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122023012internet.pdf
CO-EO-D-2023-013,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122023013internet.pdf
CO-EO-D-2023-021,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122023021internet.pdf
CO-EO-D-2022-004,"fire,wind","Legal order supports fire,wind classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.",https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122022004internet.pdf
CO-EO-D-2022-019,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122022019internet.pdf
CO-EO-D-2022-024,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122022024internet.pdf
CO-EO-D-2022-025,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122022025internet.pdf
CO-EO-D-2022-030,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122022030internet.pdf
CO-EO-D-2021-123,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122021123internet.pdf
CO-EO-D-2020-143,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020143internet.pdf
CO-EO-D-2020-171,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020171internet.pdf
CO-EO-D-2020-187,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020187internet.pdf
CO-EO-D-2020-197,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020197internet.pdf
CO-EO-D-2020-204,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020204internet.pdf
CO-EO-D-2020-208,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020208internet.pdf
CO-EO-D-2020-233,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020233internet.pdf
CO-EO-D-2020-252,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020252internet.pdf
CO-EO-D-2020-253,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020253internet.pdf
CO-EO-D-2020-254,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4312internet/go43122020254internet.pdf
