declaration_id,hazard_category_override,review_note,source_url
NJ-CORZINE-EO-111,exclude,Activates NJ's Emergency Management Assistance Compact to send mutual aid to Louisiana and Mississippi (2008 Gulf Coast hurricanes); not an NJ weather emergency,https://www.nj.gov/infobank/eo/
NJ-MCGREEVEY-EO-11,drought,"Narrowed from the broader 'water' category to the more precise 'drought': confirmed order text cites 'unusually dry weather conditions since 1998' and lowest-on-record precipitation - a genuine drought, distinct from Christie EO-106's Hurricane-Sandy-driven water emergency (tropical)",https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-406,winter,"Confirmed winter storm (snow, sleet, freezing rain) via EO-406's own text and Insider NJ coverage",https://nj.gov/infobank/eo/056murphy/pdf/EO-406.pdf
NJ-SHERRILL-EO-14,winter,Confirmed blizzard/heavy snow/coastal flood via EO-14's own text,https://nj.gov/infobank/eo/057sherrill/pdf/EO-14.pdf
NJ-SHERRILL-EO-8,winter,Confirmed heavy snow and dangerously low temperatures via EO-8's own text,https://nj.gov/infobank/eo/057sherrill/pdf/EO-8.pdf
NJ-FLORIO-EO-73,storm_general,Confirmed 'severe weather conditions' via the linked termination order EO-76's text (rescinds EO-73/74/75 as one group),https://www.nj.gov/infobank/circular/eof76.htm
NJ-FLORIO-EO-74,storm_general,Confirmed 'severe weather conditions' via the linked termination order EO-76's text (rescinds EO-73/74/75 as one group),https://www.nj.gov/infobank/circular/eof76.htm
NJ-FLORIO-EO-75,storm_general,Confirmed 'severe weather conditions' via the linked termination order EO-76's text (rescinds EO-73/74/75 as one group),https://www.nj.gov/infobank/circular/eof76.htm
NJ-CHRISTIE-EO-104,tropical,Confirmed Hurricane Sandy preparation declaration via EO-104's own text,https://www.nj.gov/infobank/circular/eocc104.pdf
NJ-CHRISTIE-EO-106,tropical,"Confirmed as a Hurricane Sandy-caused water emergency via EO-120's text ('on October 31, 2012... I declared a state of water emergency' referring back to EO-106, in the context of Sandy recovery)",https://www.nj.gov/infobank/circular/eocc120.pdf
NJ-CHRISTIE-EO-108,tropical,Confirmed Hurricane Sandy fuel-supply emergency via EO-108's own text,https://www.nj.gov/infobank/circular/eocc108.pdf
NJ-CHRISTIE-EO-110,tropical,Confirmed Hurricane Sandy fuel-supply emergency via EO-115/EO-120 text referencing EO-110,https://www.nj.gov/infobank/circular/eocc115.pdf
NJ-CHRISTIE-EO-80,storm_general,"Confirmed 2011 Halloween nor'easter (snow, wind, coastal/river flooding) via EO-80's own text",https://nj.gov/njoem/plan/pdf/110111_execorder80.PDF
NJ-CHRISTIE-EO-172,winter,Confirmed Winter Storm Juno (blizzard warning) via FMCSA-hosted copy of the order text,https://www.fmcsa.dot.gov/emergency/new-jersey-executive-order-declaring-state-emergency-due-winter-storm
NJ-CHRISTIE-EO-18,storm_general,Confirmed heavy rain/high winds/coastal and river flooding (March 2010) via EO-18's own text,https://www.nj.gov/infobank/circular/eocc18.pdf
NJ-MURPHY-EO-70,flood,Confirmed heavy rains and flash flooding (Burlington/Camden/Gloucester) via EO-70's own text,https://regulations.justia.com/states/new-jersey/executive-orders/title-55/executive-order-no-70-2019/
NJ-MURPHY-EO-71,flood,"Lifts EO-70's flood emergency, same event",https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-17,winter,"Confirmed major winter storm via FMCSA-hosted copy of EO-17's text (March 2018, the 'four nor'easters' stretch)",https://www.fmcsa.dot.gov/emergency/state-new-jersey-executive-order-17
NJ-MURPHY-EO-55,winter,Confirmed significant winter storm (snow/sleet/freezing rain) via EO-55's own text,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-55.pdf
NJ-MURPHY-EO-56,winter,"Lifts EO-55's winter storm emergency, same event",https://www.nj.gov/infobank/eo/056murphy/pdf/EO-56.pdf
NJ-MURPHY-EO-387,fire,Confirmed Jones Road Wildfire in Ocean County via EO-387's own text and multiple news sources,https://nj.gov/infobank/eo/056murphy/pdf/EO-387.pdf
NJ-MURPHY-EO-396,tropical,"Confirmed Hurricane Erin offshore impacts (coastal flooding, high surf) via EO-396's own text",https://nj.gov/infobank/eo/056murphy/pdf/EO-396.pdf
NJ-MCGREEVEY-EO-27,storm_general,"Confirmed thunderstorms/hailstorms/high winds/flooding (Monmouth County, Aug 2002) via EO-27's own text",https://nj.gov/infobank/circular/eom27.htm
NJ-MCGREEVEY-EO-48,winter,"Confirmed severe winter storm (snow/wind/freezing temperatures, Feb 2003) via EO-48's own text",https://nj.gov/infobank/circular/eom48.htm
NJ-MCGREEVEY-EO-68,tropical,Confirmed Hurricane Isabel via the termination order EO-69's text,https://www.nj.gov/infobank/circular/eom69.htm
NJ-MCGREEVEY-EO-121,flood,Confirmed heavy rainfall and flooding (July 2004) via EO-121's own text,https://www.nj.gov/infobank/circular/eom121.htm
NJ-MCGREEVEY-EO-131,"tropical,flood",Confirmed Hurricane Ivan remnants causing Delaware River flooding via EO-131's own text,https://nj.gov/infobank/circular/eom131.htm
NJ-CORZINE-EO-16,flood,Confirmed heavy rains/main stream and river flooding (June 2006) via the termination order EO-20's text,https://www.nj.gov/infobank/circular/eojsc20.htm
NJ-CORZINE-EO-64,storm_general,Confirmed nor'easter with record rainfall/river and tidal flooding (April 2007) via EO-64's own text,https://www.state.nj.us/infobank/circular/eojsc_codey64.htm
NJ-CORZINE-EO-160,storm_general,Confirmed nor'easter (Nor'Ida) with tidal/coastal flooding (Nov 2009) via EO-160's own text,https://www.nj.gov/infobank/circular/eojsc160.htm
NJ-WHITMAN-EO-46,winter,"CORRECTED from an earlier wrongly-guessed exclude: EO-46 terminates EO-45's January 1996 blizzard/snow emergency, confirmed via EO-46's own text",https://www.nj.gov/infobank/circular/eow46.htm
NJ-WHITMAN-EO-61,flood,CORRECTED from an earlier wrongly-guessed exclude: confirmed record-setting October 1996 flooding (Passaic/Raritan Rivers) via EO-61's own text,https://nj.gov/infobank/circular/eow61.htm
NJ-WHITMAN-EO-53,storm_general,Confirmed torrential thunderstorms/hailstorms/tornadoes/flooding (June 1996) via EO-53's own text,https://www.nj.gov/infobank/circular/eow53.htm
NJ-WHITMAN-EO-78,storm_general,Confirmed torrential rains/high tides/coastal flooding (Feb 1998) via EO-78's own text,https://www.nj.gov/infobank/circular/eow78.htm
NJ-WHITMAN-EO-117,flood,"Confirmed heavy rainfall flooding (Morris/Sussex, Aug 2000) via EO-117's own text",https://www.nj.gov/infobank/circular/eow117.htm
NJ-WHITMAN-EO-4,winter,Confirmed a series of severe winter storms via EO-4's own text,https://www.nj.gov/infobank/circular/eow4.htm
NJ-FLORIO-EO-37,flood,Confirmed severe weather/flooding that destroyed a Route 9 bridge (July 1991) via EO-37's own text,https://www.nj.gov/infobank/circular/eof37.htm
NJ-FLORIO-EO-46,storm_general,"Confirmed winds/high tides/coastal flooding (Oct 1991, near the 'Halloween Nor'easter'/Perfect Storm) via EO-46's own text",https://www.nj.gov/infobank/circular/eof46.htm
NJ-DIFRANCESCO-EO-124,winter,Confirmed severe winter storm/blizzard-like conditions/coastal flooding (March 2001) via EO-124's own text,https://nj.gov/infobank/circular/eod124.htm
NJ-WHITMAN-EO-98,drought,"Confirmed statewide drought (unusually hot/dry conditions, depleted surface and ground water) via the termination orders EO-100/EO-102, which explicitly state the water emergency was due to the drought",https://www.nj.gov/infobank/circular/eow102.htm
NJ-CHRISTIE-EO-222,exclude,"Confirmed via direct fetch of eocc222.pdf: extends the NJ Gaming, Sports, and Entertainment Advisory Commission (established by EO-11 2010); not a weather emergency. Also resolves the earlier URL mismatch (declarations file pointed to eocc221.pdf, the real order is eocc222.pdf)",https://www.nj.gov/infobank/circular/eocc222.pdf
NJ-FLORIO-EO-23,winter,"Confirmed via direct fetch of eof23.htm: 'the storm which occurred on December 27 to December 28, 1990 created severe weather conditions, including snow, freezing rain and icing'",https://www.nj.gov/infobank/circular/eof23.htm
