declaration_id,eo_number,governor,event_description,date_signed,action_type,external_assistance_only,version_count,archive_record_url
VA-WARNER-EO-77-2004,EO-77,Mark R. Warner,Executive Order 77 (2004) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage from Hurricane Charley.,2004-08-16,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827936405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-79-2004,EO-79,Mark R. Warner,Executive Order 79 (2004) Declaration of a State of Emergency for Central Virginia Due to Significant Flooding Caused by Tropical Depression Gaston.,2004-08-31,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827955905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-80-2004,EO-80,Mark R. Warner,Executive Order 80 (2004) Declaration of a State of Emergency for the Commonwwealth of Virginia Due to Significant Rains and Threat of Tornadoes and Damaging Flash Flooding.,2004-09-08,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827953905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-81-2004,EO-81,Mark R. Warner,Executive Order 81 (2004) Declaration of a State of Emergency for the Entire Commonwealth Due to the Threat of Significant Flooding and Tornadoes Caused by Hurricane Ivan.,2004-09-17,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827946205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-82-2004,EO-82,Mark R. Warner,Executive Order 82 (2004) Declaration of a State of Emergency for the Commonwealth Due to Significant Flooding and Tornadoes Caused by Hurricane Jeanne.,2004-09-29,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827940405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-98-2005,EO-98,Mark R. Warner,Executive Order 98 (2005) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Tropical Storm/Hurricane Ophelia.,2005-09-12,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827942505756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-27-2006,EO-27,Timothy M. Kaine,"Executive Order 27 (2006) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Flooding, Transportation Impacts, Mudslides, and Continued Flash Flood Warnings Due to Extensive Rainfall Beginning June 23, 2006 from a Severe Tropical Weather System.",2006-06-30,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828060805756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-34-2006,EO-34,Timothy M. Kaine,Executive Order 34 (2006) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Tropical Storm Ernesto.,2006-09-15,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828056805756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-39-2006,EO-39,Timothy M. Kaine,"Executive Order 39 (2006) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Flooding and Wind Damage Caused by Severe Weather on October 6 Through October 8, 2006.",2006-10-13,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828058905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-46-2007,EO-46,Timothy M. Kaine,"Executive Order 46 (2007) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Potential for Significant Ice, Snow and Wind Damage Caused by Severe Weather Beginning on February 13, 2007.",2007-02-14,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828059005756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-57-2007,EO-57,Timothy M. Kaine,Executive Order 57 (2007) Declaration of a State of Emergency Arising from Drought and Forest Fire or the Potential thereof throughout the Commonwealth of Virginia.,2007-10-18,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828056305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-63-2008,EO-63,Timothy M. Kaine,Executive Order 63 (2008) Declaration of a State of Emergency Arising from Heavy Winds and Brush Fires or the Potential thereof Throughout the Commonwealth of Virginia.,2008-02-15,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828066005756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-64-2008,EO-64,Timothy M. Kaine,Executive Order 64 (2008) Declaration of a State of Emergency Arising from Heavy Winds and Severe Storms Throughout the Commonwealth of Virginia.,2008-03-31,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828055105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-76-2008,EO-76,Timothy M. Kaine,Executive Order 76 (2008) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Hurricane Hanna.,2008-09-04,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828065105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-81-2009,EO-81,Timothy M. Kaine,Executive Order 81 (2009) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Weather Event throughout the Commonwealth.,2009-03-04,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828060205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-KAINE-EO-105-2009,EO-105,Timothy M. Kaine,Executive Order 105 (2009) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Weather Event throughout the Commonwealth.,2009-12-18,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828064205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-5-2010,EO-5,Robert F. McDonnell,Executive Order 5 (2010) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Storm Event throughout the Commonwealth.,2010-01-29,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827921305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-7-2010,EO-7,Robert F. McDonnell,Executive Order 7 (2010) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Winter Storm Events throughout the Comonwealth.,2010-02-10,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827918705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-8-2010,EO-8,Robert F. McDonnell,Executive Order 8 (2010) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Storm Event throughout the Western and Southwestern Portion of the Commonwealth,2010-03-01,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827923005756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-23-2010,EO-23,Robert F. McDonnell,Executive Order 23 (2010) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damaged Caused by Hurricane Earl,2010-09-01,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829213005756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-30-2010,EO-30,Robert F. McDonnell,"Executive Order 30 (2010) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Snow Accumulations, Transportation Difficulties, and Power Outages Caused by a Winter Storm",2010-12-28,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829211805756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-33-2011,EO-33,Robert F. McDonnell,Executive Order 33 (2011) Declaration of a State of Emergency for Pulaski County and the Commonwealth of Virginia due to Significant Damage and Flooding caused by Tornadoes and Severe Thunderstorms with Damaging Winds and Heavy Rains,2011-05-18,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829217005756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-40-2011,EO-40,Robert F. McDonnell,"Executive Order 40 (2011) Declaration of a State of Emergency for the Commonwealth of Virginia due to the Threat of Significant Flooding, Heavy Rains, and Wind Damage caused by Hurricane Irene",2011-09-28,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829215905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-49-2012,EO-49,Robert F. McDonnell,Executive Order 49 (2012) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Storm Event throughout the Commnwealth,2012-07-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829212705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-53-2012,EO-53,Robert F. McDonnell,Executive Order 53 (2012) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Hurricane Sandy Impacting Virginia,2012-10-30,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829216705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCDONNELL-EO-61-2013,EO-61,Robert F. McDonnell,Executive Order 61 (2013) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Winter Storm Event,2013-03-07,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827918305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-6-2014,EO-6,Terry McAuliffe,Executive Order 6 (2014) Declaration of a State of Emergency for the Commonwealth of Virginia in Support of Emergency Relief Supplies Due to Severe Winter Weather,2014-02-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829207805756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-7-2014,EO-7,Terry McAuliffe,Executive Order 7 (2014) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Major Winter Storm Event,2014-02-11,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829208205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-9-2014,EO-9,Terry McAuliffe,Executive Order 9 (2014) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Major Winter Storm,2014-03-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829204305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-38-2015,EO-38,Terry McAuliffe,"Executive Order 38 (2015) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Major Winter Storm (Updated February 24, 2015)",2015-02-16,declaration,False,2,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829209505756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-48-2015,EO-48,Terry McAuliffe,Executive Order 48 (2015) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Weather and the Threat of Hurricane Joaquin Impacting Virginia,2015-09-30,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828045605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-51-2016,EO-51,Terry McAuliffe,Executive Order 51 (2016) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Storm Event,2016-01-21,declaration,False,2,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829211205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-53-2016,EO-53,Terry McAuliffe,Executive Order 53 (2016) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Storms and Tornadoes,2016-02-29,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829203205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-56-2016,EO-56,Terry McAuliffe,Executive Order 56 (2016) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Flooding,2016-06-24,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829205105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-58-2016,EO-58,Terry McAuliffe,Executive Order 58 (2016) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Hurricane Hermine,2016-09-02,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829211305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-60-2016,EO-60,Terry McAuliffe,"Executive Order 60 (2016) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Hurricane Matthew and in Support of States Affected by Hurricane Matthew (Updated October 17, 2016)",2016-10-06,declaration,False,2,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829199605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-62-2017,EO-62,Terry McAuliffe,Executive Order 62 (2017) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Weather Event,2017-01-06,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829199405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-63-2017,EO-63,Terry McAuliffe,Executive Order 63 (2017) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Weather Event,2017-03-13,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829199105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-72-2017,EO-72,Terry McAuliffe,Executive Order 72 (2017) Declaration of a State of Emergency for the Commonwealth of Virginia Due To Hurricane Irma and in Support of States Affected by Hurricane Irma,2017-09-07,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829209705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-MCAULIFFE-EO-76-2018,EO-76,Terry McAuliffe,Executive Order 76 (2018) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Winter Weather,2018-01-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917829200405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-10-2018,EO-10,Ralph S. Northam,Executive Order 10 (2018) Declaration Of A State Of Emergency For The Commonwealth Of Virginia Due To Severe Weather And Flooding,2018-06-08,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827716405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-17-2018,EO-17,Ralph S. Northam,Executive Order 17 (2018) Declaration Of A State Of Emergency For The Commonwealth Of Virginia Due To Potential Impacts From Hurricane Florence,2018-09-10,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827713905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-23-2018,EO-23,Ralph S. Northam,Executive Order 23 (2018) Declaration Of A State Of Emergency For The Commonwealth Of Virginia Due To Hurricane Michael And In Support Of States Affected By The Storm,2018-10-11,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827712705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-26-2018,EO-26,Ralph S. Northam,Executive Order 26 (2018) Declaration Of A State Of Emergency for The Commonwealth Of Virginia Due To Winter Weather,2018-12-08,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827712105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-28-2019,EO-28,Ralph S. Northam,Executive Order 28 (2019) Declaration Of A State Of Emergency for The Commonwealth Of Virginia Due To Winter Weather,2019-01-12,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827711705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-34-2019,EO-34,Ralph S. Northam,Executive Order 34 (2019) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Highway Damages From Flooding,2019-06-27,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827717405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-40-2019,EO-40,Ralph S. Northam,Executive Order 40 (2019) Declaration of a State of Emergency Due to Hurricane Dorian,2019-09-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827716105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-46-2019,EO-46,Ralph S. Northam,Executive Order 46 (2019) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Highway Damages From Flooding,2019-12-06,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827714605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-50-2020,EO-50,Ralph S. Northam,Executive Order 50 (2020) Declaration of a State of Emergency Due to Extreme Flooding,2020-02-02,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827713805756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-69-2020,EO-69,Ralph S. Northam,Executive Order 69 (2020) Declaration of a State of Emergency Due to Hurricane Isaias,2020-07-31,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827710405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-73-2020,EO-73,Ralph S. Northam,Executive Order 73 (2020) Declaration of a State Of Emergency Due to Winter Weather,2020-12-15,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827718205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-76-2021,EO-76,Ralph S. Northam,Executive Order 76 (2021) Declaration of a State of Emergency Due to Anticipated Winter Weather,2021-02-11,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827717505756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-NORTHAM-EO-83-2022,EO-83,Ralph S. Northam,Executive Order 83 (2022) Declaration of a State of Emergency Due to Severe Winter Weather,2022-01-05,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827714505756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-12-2022,EO-12,Glenn Youngkin,Executive Order 12 (2022) Declaration of a State of Emergency Due to Severe Winter Weather,2022-01-20,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188493305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-15-2022,EO-15,Glenn Youngkin,Executive Order 15 (2022) Declaration of a State of Emergency Due to Severe Winter Weather,2022-01-27,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188492205756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-20-2022,EO-20,Glenn Youngkin,Executive Order 20 (2022) Declaration of a State of Emergency Due to Severe Flooding in Buchanan County,2022-07-13,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188588805756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-21-2022,EO-21,Glenn Youngkin,Executive Order 21 (2022) Declaration of a State of Emergency Due to Severe Flooding in Southwest Virginia,2022-07-28,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188588705756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-22-2022,EO-22,Glenn Youngkin,Executive Order 22 (2022) Declaration of a State of Emergency Due to Hurricane Ian,2022-09-28,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188588605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-27-2023,EO-27,Glenn Youngkin,Executive Order 27 (2023) Declaration of a State of Emergency Due to Severe Flooding and Tropical Storm Impacts Across the Commonwealth,2023-09-22,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188489305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-29-2023,EO-29,Glenn Youngkin,"Executive Order 29 (2023) Declaration of a State of Emergency Due to Wildfires, or the Potential thereof, Throughout the Commonwealth of Virginia",2023-11-06,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188489105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-34-2024,EO-34,Glenn Youngkin,Executive Order 34 (2024) Declaration of a State of Emergency Due to Hurricane/Tropical Storm Debby,2024-08-06,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188488605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-37-2024,EO-37,Glenn Youngkin,Executive Order 37 (2024) Declaration of a State of Emergency Due to Hurricane Helen,2024-09-25,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188488305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-44-2025,EO-44,Glenn Youngkin,Executive Order 44 (2025) Declaration of a State of Emergency Due to Severe Winter Weather,2025-01-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188487605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-YOUNGKIN-EO-45-2025,EO-45,Glenn Youngkin,Executive Order 45 (2025) Declaration of a State of Emergency Due to Severe Winter Weather Systems,2025-02-10,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9918188487505756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-SPANBERGER-EO-11-2026,EO-11,Abigail D. Spanberger,Declaring State of Emergency Due to Winter Weather,2026-01-22,declaration,False,1,
