declaration_id,governor,administration,governor_key,collection_id,record_id,document_type,eo_number,year,date_signed,event_description,subject,is_emergency_action,action_type,weather_related,weather_hazards,external_assistance_only,format,archive_record_url,document_url,source
VA-WARNER-EO-97-2005,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827947105756,Executive Order,EO-97,2005,2005-09-23,Executive Order 97 (2005) Declaration of a State of Emergency in Support of the Emergency Management Assistance Compact to Respond to the Impact of Hurricane Katrina and Hurricane Rita. (Revised),Declaration of a State of Emergency in Support of the Emergency Management Assistance Compact to Respond to the Impact of Hurricane Katrina and Hurricane Rita. (Revised),True,declaration,True,hurricane,True,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827947105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564807,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-81-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827946205756,Executive Order,EO-81,2004,2004-09-17,Executive Order 81 (2004) Declaration of a State of Emergency for the Entire Commonwealth Due to the Threat of Significant Flooding and Tornadoes Caused by Hurricane Ivan.,Declaration of a State of Emergency for the Entire Commonwealth Due to the Threat of Significant Flooding and Tornadoes Caused by Hurricane Ivan,True,declaration,True,flood; hurricane; tornado,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827946205756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565248,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-51-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827944705756,Executive Order,EO-51,2003,2003-06-30,Executive Order 51 (2003) Continuing Certain Emergency Declarations Due to Disasters in the Commonwealth.,Continuing Certain Emergency Declarations Due to Disasters in the Commonwealth,True,modification_or_extension,False,,False,3 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827944705756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564537,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-56-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827944105756,Executive Order,EO-56,2003,2003-09-16,Executive Order 56 (2003) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Hurricane Isabel.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Hurricane Isabel,True,declaration,True,flood; hurricane; wind,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827944105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565560,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-87-2005,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827943905756,Executive Order,EO-87,2005,2005-06-22,Executive Order 87 (2005) Continuing Certain Emergency Declarations Due to Disasters in the Commonwealth.,Continuing Certain Emergency Declarations Due to Disasters in the Commonwealth,True,modification_or_extension,False,,False,3 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827943905756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565251,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-88-2005,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827943105756,Executive Order,EO-88,2005,2005-06-13,Executive Order 88 (2005) A Continuation and Modification of the Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Significant Flooding and Wind Damaged Caused by Hurricane Isabel.,A Continuation and Modification of the Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Significant Flooding and Wind Damaged Caused by Hurricane Isabel,True,modification_or_extension,True,flood; hurricane; wind,False,2 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827943105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565284,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-62-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827942805756,Executive Order,EO-62,2004,2004-01-16,Executive Order 62 (2004) Declaration of a State of Emergency in the Commonwealth of Virginia to Expand Hours for Utility Service Restoration Workers.,Declaration of a State of Emergency in the Commonwealth of Virginia to Expand Hours for Utility Service Restoration Workers,True,declaration,False,,False,2 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827942805756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565563,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-98-2005,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827942505756,Executive Order,EO-98,2005,2005-09-12,Executive Order 98 (2005) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Tropical Storm/Hurricane Ophelia.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Tropical Storm/Hurricane Ophelia,True,declaration,True,flood; hurricane; storm; tropical; wind,False,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827942505756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564858,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-11-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827942105756,Executive Order,EO-11,2002,2002-04-01,"Executive Order 11 (2002) Declaration of a State of Emergency Due to a Tire Fire in Roanoke County, Virginia.","Declaration of a State of Emergency Due to a Tire Fire in Roanoke County, Virginia",True,declaration,False,,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827942105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564549,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-38-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827941405756,Executive Order,EO-38,2002,2002-12-11,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions,True,declaration,True,ice,False,2 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564561,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-82-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827940405756,Executive Order,EO-82,2004,2004-09-29,Executive Order 82 (2004) Declaration of a State of Emergency for the Commonwealth Due to Significant Flooding and Tornadoes Caused by Hurricane Jeanne.,Declaration of a State of Emergency for the Commonwealth Due to Significant Flooding and Tornadoes Caused by Hurricane Jeanne,True,declaration,True,flood; hurricane; tornado,False,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827940405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565287,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-64-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827940205756,Executive Order,EO-64,2004,2004-02-13,Executive Order 64 (2004) Continuing the Declaration of a State of Emergency in the Commonwealth of Virginia to Expand Hours for Emergency Power Restoration Workers.,Continuing the Declaration of a State of Emergency in the Commonwealth of Virginia to Expand Hours for Emergency Power Restoration Workers,True,modification_or_extension,False,,False,1 PDF page,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827940205756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565602,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-59-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827940105756,Executive Order,EO-59,2003,2003-11-20,Executive Order 59 (2003) Declaration of a State of Emergency for Localities n Southwest Virginia Due to the Affects of Significant Flooding.,Declaration of a State of Emergency for Localities n Southwest Virginia Due to the Affects of Significant Flooding,True,declaration,True,flood,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827940105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565320,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-73-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827939905756,Executive Order,EO-73,2004,2004-05-25,Executive Order 73 (2004) Declaration of a State of Emergency for the Counties of Tazewell and Russell Due to the Effects of Significant Flooding.,Declaration of a State of Emergency for the Counties of Tazewell and Russell Due to the Effects of Significant Flooding,True,declaration,True,flood,False,6 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827939905756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565323,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-66-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827939505756,Executive Order,EO-66,2004,2004-04-07,Executive Order 66 (2004) A Modification of the Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Significant Flooding and Wind Damage Caused by Hurricane Isabel.,A Modification of the Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Significant Flooding and Wind Damage Caused by Hurricane Isabel,True,modification_or_extension,True,flood; hurricane; wind,False,2 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827939505756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564567,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-48-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827939305756,Executive Order,EO-48,2003,2003-05-28,Executive Order 48 (2003) Declaration of a State of Emergency Due to Tornado and Severe Storm Damage Across the Commonwealth.,Declaration of a State of Emergency Due to Tornado and Severe Storm Damage Across the Commonwealth,True,declaration,True,storm; tornado,False,5 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827939305756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564609,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-42-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827939105756,Executive Order,EO-42,2003,2003-01-31,Executive Order 42 (2003) Declaration of a State of Emergency Due to Water Shortage in Buchanan and Tazewell Counties.,Declaration of a State of Emergency Due to Water Shortage in Buchanan and Tazewell Counties,True,declaration,False,,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827939105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564612,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-31-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827938105756,Executive Order,EO-31,2002,2002-07-31,Executive Order 31 (2002) Declaration of a State of Emergency Due to Extreme Drought Conditions Throughout the Commonwealth.,Declaration of a State of Emergency Due to Extreme Drought Conditions Throughout the Commonwealth,True,declaration,True,drought,False,3 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827938105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565365,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-74-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827937905756,Executive Order,EO-74,2004,2004-06-03,Executive Order 74 (2004) Inclusion of Lee County in the Declaration of a State of Emergency for the Counties of Tazewell and Russell Due to the Effects of Signficant Flooding.,Inclusion of Lee County in the Declaration of a State of Emergency for the Counties of Tazewell and Russell Due to the Effects of Signficant Flooding,True,declaration,True,flood,False,2 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827937905756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565374,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-99-2005,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827937605756,Executive Order,EO-99,2005,2005-10-14,Executive Order 99 (2005) Declaration of a State of Emergency to Assist Wise County and the Town of Big Stone Gap Due to a Critical Water Shortage.,Declaration of a State of Emergency to Assist Wise County and the Town of Big Stone Gap Due to a Critical Water Shortage,True,declaration,False,,False,6 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827937605756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564987,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-77-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827936405756,Executive Order,EO-77,2004,2004-08-16,Executive Order 77 (2004) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage from Hurricane Charley.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage from Hurricane Charley,True,declaration,True,flood; hurricane; wind,False,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827936405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565062,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-65-2008,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828067205756,Executive Order,EO-65,2008,2008-04-28,Executive Order 65 (2008) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Weather Throughout the Commonwealth.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to Severe Weather Throughout the Commonwealth,True,declaration,False,,False,4 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828067205756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564990,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-63-2008,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828066005756,Executive Order,EO-63,2008,2008-02-15,Executive Order 63 (2008) Declaration of a State of Emergency Arising from Heavy Winds and Brush Fires or the Potential thereof Throughout the Commonwealth of Virginia.,Declaration of a State of Emergency Arising from Heavy Winds and Brush Fires or the Potential thereof Throughout the Commonwealth of Virginia,True,declaration,True,fire; wind,False,6 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828066005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565068,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-76-2008,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828065105756,Executive Order,EO-76,2008,2008-09-04,Executive Order 76 (2008) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Hurricane Hanna.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Hurricane Hanna,True,declaration,True,flood; hurricane; wind,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828065105756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564443,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-77-2008,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828064405756,Executive Order,EO-77,2008,2008-09-18,Executive Order 77 (2008) Declaration of a State of Emergency in Support of the Emergency Management Assistance Compact to Respond to the Impact of Hurricane Gustav and Hurricane Ike in the Gulf Coast States.,Declaration of a State of Emergency in Support of the Emergency Management Assistance Compact to Respond to the Impact of Hurricane Gustav and Hurricane Ike in the Gulf Coast States,True,declaration,True,hurricane,True,6 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828064405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564498,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-105-2009,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828064205756,Executive Order,EO-105,2009,2009-12-18,Executive Order 105 (2009) Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Weather Event throughout the Commonwealth.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to a Severe Winter Weather Event throughout the Commonwealth,True,declaration,True,winter weather,False,6 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828064205756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565599,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-75-2008,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828064005756,Executive Order,EO-75,2008,2008-09-04,Executive Order 75 (2008) Declaration of a State of Emergency in Support of the Emergency Management Assistant Compact to Respond to the Impact of Hurricane Gustav in the Gulf Coast States.,Declaration of a State of Emergency in Support of the Emergency Management Assistant Compact to Respond to the Impact of Hurricane Gustav in the Gulf Coast States,True,declaration,True,hurricane,True,6 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828064005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564522,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-74-2008,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828062805756,Executive Order,EO-74,2008,2008-07-03,Executive Order 74 (2008) Continuing Certain Declarations of State of Emergency.,Continuing Certain Declarations of State of Emergency,True,modification_or_extension,False,,False,2 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828062805756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564568,Library of Virginia Executive Orders Digital Collection
VA-KAINE-EO-49-2007,Timothy M. Kaine,2006-2010,kaine,81116276830005756,alma9917828062705756,Executive Order,EO-49,2007,2007-04-16,Executive Order 49 (2007) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Shootings at Virginia Tech.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to Shootings at Virginia Tech,True,declaration,False,,False,4 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917828062705756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565071,Library of Virginia Executive Orders Digital Collection
